iso3,country_name,degree,degree_centrality,betweenness_centrality,closeness_centrality
SYR,Syrian Arab Republic,4,0.020942408376963352,4.2393539224622165e-06,0.4340909090909091
CRI,Costa Rica,4,0.020942408376963352,2.7620790591513853e-06,0.4225663716814159
PRK,Democratic People’s Republic of Korea,4,0.020942408376963352,2.296316708000367e-06,0.4081196581196581
GHA,Ghana,4,0.020942408376963352,0.0,0.4580335731414868
LBY,Libya,4,0.020942408376963352,0.0,0.4569377990430622
VEN,Venezuela,4,0.020942408376963352,0.0,0.4431554524361949
ECU,Ecuador,4,0.020942408376963352,0.0,0.4400921658986175
COD,Democratic Republic of the Congo,4,0.020942408376963352,0.0,0.4331065759637188
TJK,Tajikistan,4,0.020942408376963352,0.0,0.4331065759637188
AGO,Angola,3,0.015706806282722516,0.000439383154731925,0.4216335540838852
LBN,Lebanon,3,0.015706806282722516,0.0,0.4331065759637188
TGO,Togo,3,0.015706806282722516,0.0,0.42350332594235035
BMU,Bermuda,3,0.015706806282722516,0.0,0.4046610169491525
RWA,Rwanda,2,0.010471204188481676,0.00011674767813184951,0.3882113821138211
VGB,British Virgin Islands,2,0.010471204188481676,0.0,0.43707093821510296
MSR,Montserrat,2,0.010471204188481676,0.0,0.43707093821510296
LSO,Lesotho,2,0.010471204188481676,0.0,0.43507972665148065
MLI,Mali,2,0.010471204188481676,0.0,0.42350332594235035
UGA,Uganda,2,0.010471204188481676,0.0,0.41431670281995664
ZWE,Zimbabwe,2,0.010471204188481676,0.0,0.41431670281995664
MOZ,Mozambique,2,0.010471204188481676,0.0,0.410752688172043
CUW,Curaçao,2,0.010471204188481676,0.0,0.4029535864978903
DOM,Dominican Republic,2,0.010471204188481676,0.0,0.40041928721174
BOL,Bolivia,1,0.005235602094240838,0.0,0.42070484581497797
CYM,Cayman Islands,1,0.005235602094240838,0.0,0.42070484581497797
CAF,Central African Republic,1,0.005235602094240838,0.0,0.42070484581497797
GIB,Gibraltar,1,0.005235602094240838,0.0,0.42070484581497797
GIN,Guinea,1,0.005235602094240838,0.0,0.42070484581497797
MDG,Madagascar,1,0.005235602094240838,0.0,0.42070484581497797
MMR,Myanmar,1,0.005235602094240838,0.0,0.42070484581497797
NCL,New Caledonia,1,0.005235602094240838,0.0,0.42070484581497797
NER,Niger,1,0.005235602094240838,0.0,0.42070484581497797
MAF,Saint Martin,1,0.005235602094240838,0.0,0.42070484581497797
SPM,Saint Pierre and Miquelon,1,0.005235602094240838,0.0,0.42070484581497797
SLB,Solomon Islands,1,0.005235602094240838,0.0,0.42070484581497797
SSD,South Sudan,1,0.005235602094240838,0.0,0.42070484581497797
AIA,Anguilla,1,0.005235602094240838,0.0,0.410752688172043
BES,"Bonaire, Saba, Saint Eustatius",1,0.005235602094240838,0.0,0.39059304703476483
NPL,Nepal,1,0.005235602094240838,0.0,0.39059304703476483
SXM,Sint Maarten,1,0.005235602094240838,0.0,0.39059304703476483
LAO,Lao People’s Democratic Republic,1,0.005235602094240838,0.0,0.38979591836734695
IRQ,Iraq,1,0.005235602094240838,0.0,0.3882113821138211
ABW,Aruba,1,0.005235602094240838,0.0,0.3866396761133603
TZA,Tanzania,1,0.005235602094240838,0.0,0.3866396761133603
LBR,Liberia,1,0.005235602094240838,0.0,0.3850806451612903
CUB,Cuba,1,0.005235602094240838,0.0,0.38353413654618473
GNB,Guinea-Bissau,1,0.005235602094240838,0.0,0.38353413654618473
STP,Sao Tome and Principe,1,0.005235602094240838,0.0,0.38353413654618473
TLS,Timor-Leste,1,0.005235602094240838,0.0,0.38353413654618473
SDN,Sudan,1,0.005235602094240838,0.0,0.3666026871401152
YEM,Yemen,1,0.005235602094240838,0.0,0.3666026871401152
KIR,Kiribati,1,0.005235602094240838,0.0,0.35567970204841715
WSM,Samoa,1,0.005235602094240838,0.0,0.35304990757855825
WBA,World aviation bunkers,1,0.005235602094240838,0.0,0.32318104906937395
KHM,Cambodia,1,0.005235602094240838,0.0,0.31727574750830567
